측정월,측정소명,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),Year
201905,강남구,57.0,30.0,2019
201905,강남대로,83.0,36.0,2019
201905,강동구,60.0,30.0,2019
201905,강변북로,83.0,39.0,2019
201905,강북구,67.0,27.0,2019
201905,강서구,68.0,29.0,2019
201905,공항대로,70.0,33.0,2019
201905,관악구,81.0,40.0,2019
201905,관악산,73.0,27.0,2019
201905,광진구,71.0,37.0,2019
201905,구로구,75.0,40.0,2019
201905,궁동,60.0,25.0,2019
201905,금천구,56.0,29.0,2019
201905,남산,71.0,30.0,2019
201905,노원구,61.0,29.0,2019
201905,도봉구,70.0,32.0,2019
201905,도산대로,78.0,39.0,2019
201905,동대문구,56.0,26.0,2019
201905,동작구,61.0,28.0,2019
201905,동작대로,83.0,38.0,2019
201905,마포구,82.0,40.0,2019
201905,북한산,64.0,33.0,2019
201905,서대문구,76.0,36.0,2019
201905,서초구,78.0,39.0,2019
201905,성동구,71.0,34.0,2019
201905,성북구,74.0,31.0,2019
201905,세곡,45.0,21.0,2019
201905,송파구,68.0,36.0,2019
201905,시흥대로,65.0,26.0,2019
201905,신촌로,68.0,36.0,2019
201905,양천구,69.0,31.0,2019
201905,영등포구,80.0,44.0,2019
201905,영등포로,73.0,32.0,2019
201905,용산구,53.0,29.0,2019
201905,은평구,74.0,34.0,2019
201905,정릉로,79.0,41.0,2019
201905,종로,61.0,27.0,2019
201905,종로구,57.0,25.0,2019
201905,중구,57.0,27.0,2019
201905,중랑구,55.0,29.0,2019
201905,천호대로,70.0,27.0,2019
201905,청계천로,65.0,32.0,2019
201905,한강대로,88.0,42.0,2019
201905,행주,57.0,23.0,2019
201905,홍릉로,70.0,36.0,2019
201905,화랑로,66.0,37.0,2019
201904,강남구,34.0,18.0,2019
201904,강남대로,55.0,24.0,2019
201904,강동구,37.0,18.0,2019
201904,강변북로,50.0,24.0,2019
201904,강북구,39.0,16.0,2019
201904,강서구,42.0,19.0,2019
201904,공항대로,46.0,22.0,2019
201904,관악구,49.0,27.0,2019
201904,관악산,39.0,18.0,2019
201904,광진구,43.0,24.0,2019
201904,구로구,47.0,24.0,2019
201904,궁동,36.0,17.0,2019
201904,금천구,38.0,19.0,2019
201904,남산,42.0,18.0,2019
201904,노원구,37.0,20.0,2019
201904,도봉구,39.0,19.0,2019
201904,도산대로,50.0,25.0,2019
201904,동대문구,33.0,16.0,2019
201904,동작구,39.0,19.0,2019
201904,동작대로,52.0,24.0,2019
201904,마포구,50.0,25.0,2019
201904,북한산,36.0,18.0,2019
201904,서대문구,44.0,23.0,2019
201904,서초구,49.0,26.0,2019
201904,성동구,46.0,23.0,2019
201904,성북구,42.0,18.0,2019
201904,세곡,29.0,15.0,2019
201904,송파구,43.0,24.0,2019
201904,시흥대로,45.0,19.0,2019
201904,신촌로,44.0,22.0,2019
201904,양천구,44.0,20.0,2019
201904,영등포구,52.0,30.0,2019
201904,영등포로,45.0,20.0,2019
201904,용산구,31.0,17.0,2019
201904,은평구,44.0,21.0,2019
201904,정릉로,50.0,25.0,2019
201904,종로,38.0,16.0,2019
201904,종로구,35.0,17.0,2019
201904,중구,35.0,17.0,2019
201904,중랑구,32.0,18.0,2019
201904,천호대로,45.0,19.0,2019
201904,청계천로,38.0,20.0,2019
201904,한강대로,56.0,28.0,2019
201904,행주,41.0,18.0,2019
201904,홍릉로,45.0,24.0,2019
201904,화랑로,40.0,23.0,2019
201903,강남구,65.0,47.0,2019
201903,강남대로,80.0,49.0,2019
201903,강동구,68.0,44.0,2019
201903,강변북로,77.0,46.0,2019
201903,강북구,74.0,43.0,2019
201903,강서구,80.0,47.0,2019
201903,공항대로,77.0,52.0,2019
201903,관악구,77.0,51.0,2019
201903,관악산,63.0,36.0,2019
201903,광진구,70.0,46.0,2019
201903,구로구,73.0,45.0,2019
201903,궁동,63.0,40.0,2019
201903,금천구,67.0,42.0,2019
201903,남산,64.0,41.0,2019
201903,노원구,68.0,46.0,2019
201903,도봉구,66.0,43.0,2019
201903,도산대로,76.0,50.0,2019
201903,동대문구,65.0,44.0,2019
201903,동작구,69.0,47.0,2019
