가게 이름,메뉴,주소,좋아요 개수,점수,위도,경도
마리스,커피,충청남도 천안시 동남구 안서동 492-2,33,51,36.8343239,127.1729509
09학번식당,"라멘, 수제버거",충청남도 천안시 동남구 안서동 241-15,4,36,36.8304567,127.175887
더올드밀,필라프,충청남도 천안시 동남구 안서동 144-8,7,31,36.84063580000001,127.1766109
오월의숲,커피,충청남도 천안시 동남구 안서동 130-1,9,31,36.8327685,127.1881166
내가찜한닭,안동찜닭,충청남도 천안시 동남구 안서동 385-4,0,29,36.8408287,127.1810442
로씨,"화덕피자, 파스타",충청남도 천안시 동남구 안서동 352-14,13,28,36.8393059,127.1774189
생태나라,"생태, 생태찌개",충청남도 천안시 동남구 안서동 534-118,3,25,36.8307931,127.1747445
부자전,오징어,충청남도 천안시 동남구 안서동 516-1,0,23,36.8315095,127.1744946
쪼다쪼림닭,"쪼림닭, 우동",충청남도 천안시 동남구 안서동 384,3,16,36.8408336,127.1813637
소나무향기,"산채정식, 산채비빔밥",충청남도 천안시 동남구 안서동 151,9,15,36.8328705,127.1895863
슬로우커피,커피,충청남도 천안시 동남구 안서동 271-3,11,14,36.8282715,127.1845231
주문진,"생선구이, 고등어",충청남도 천안시 동남구 안서동 273-8,5,14,36.8285834,127.1841454
카페고메,커피,충청남도 천안시 동남구 안서동 492-7,11,14,36.8341021,127.1729208
유박사해장국,"해장국, 뼈해장국",충청남도 천안시 동남구 안서동 275-1,7,14,36.8291701,127.1838959
선녀아리랑,"한정식, 간장게장",충청남도 천안시 동남구 안서동 143,3,14,36.8318434,127.1867217
불로만숯불바베큐,"숯불바베큐, 바베큐",충청남도 천안시 동남구 안서동 235-6,8,13,36.8303173,127.1787942
산들,"채식뷔페, 채식",충청남도 천안시 동남구 안서동 144-5,7,13,36.8313431,127.1869601
초당골,"순두부, 순두부정식",충청남도 천안시 동남구 안서동 145-1,2,13,36.8320037,127.1869677
오래오래,"생선구이전문, 생선구이",충청남도 천안시 동남구 안서동 335-1,2,13,36.8377033,127.1774955
동춘옥,"짬뽕, 짜장면",충청남도 천안시 동남구 안서동 503-1,0,13,36.8337304,127.1731299
산마루손칼국수,"손칼국수, 칼국수",충청남도 천안시 동남구 안서동 213-13,3,13,36.8271377,127.1859543
이지향왕냉면,냉면,충청남도 천안시 동남구 안서동 252-1,2,13,36.831317,127.1789584
맛있네탕수육,"탕수육, 김치피자",충청남도 천안시 동남구 안서동 516-1,7,13,36.8315095,127.1744946
언덕위커피나무,커피,충청남도 천안시 동남구 안서동 129-4,5,13,36.8328237,127.1877438
흙사랑,"오리백숙, 백숙",충청남도 천안시 동남구 안서동 130-1,2,13,36.8327685,127.1881166
수원화로구이,"화로구이, 삼겹살",충청남도 천안시 동남구 안서동 234-9,4,13,36.8307621,127.1783433
압구정김밥,"분식, 김밥",충청남도 천안시 동남구 안서동,4,13,36.8392816,127.1895989
아비시니아,커피,충청남도 천안시 동남구 안서동 150-8,3,12,36.8323524,127.1888003
큰통치킨,치킨,충청남도 천안시 동남구 안서동 234-1,1,12,36.8307905,127.1781547
카페라이크,커피,충청남도 천안시 동남구 안서동 468-1,3,12,36.83576190000001,127.1730419
호박마을,"오리훈제, 오리고기",충청남도 천안시 동남구 안서동 177-1,0,12,36.8331995,127.1926411
삼보석쇠갈비,떡갈비,충청남도 천안시 동남구 안서동 151,0,12,36.8328705,127.1895863
예뫼골,돈까스,충청남도 천안시 동남구 안서동 142-1,1,12,36.8314512,127.1862976
